basin,NSE,RMSE,KGE
10,0.9948002095334232,0.3556134275353573,0.9703610494204573
118,0.32740503549575806,0.781591531488132,0.5968314343881211
120,0.49756085872650146,0.531137903392084,0.7914673425661083
122,0.7771579921245575,0.4764537061737092,0.7992368098140983
123,0.1903708577156067,0.6156526627110537,0.7480579315873084
124,0.6480428576469421,0.514644470778638,0.86238646360869
130,0.9765464030206203,0.6398585782411401,0.9791569009587993
132,0.9858564417809248,0.7927358125459512,0.975198659817492
135,0.9884948302060366,0.49758512746274186,0.9472276437245138
136,0.9925517719238997,0.4939878023877231,0.9746146490040063
137,0.9907608199864626,0.5393176097108371,0.9668347822983248
14,0.9925394686870277,0.41529925997649997,0.9655605732769413
140,0.9943518196232617,0.47884410560742585,0.9836111618104805
166,0.9935700013302267,0.42856332935900004,0.9664063293056119
17,0.993043230380863,0.34280634447689834,0.9701831058451539
171,0.9796649366617203,0.4253687128705997,0.9693198601083787
172,0.9901468651369214,0.34747535842895133,0.9895297175349479
173,0.9868315560743213,0.36173205093745153,0.9767590227516332
184,0.9891737038269639,0.35395088587996426,0.9707086831320445
185,0.9880128782242537,0.37584017967633737,0.9758528614732662
197,0.9896180694922805,0.4468546649334228,0.9595552050866007
21,0.992445673327893,0.5821833059883678,0.9550974363595923
212,0.9629007093608379,0.6462612862034944,0.9596174745592356
214,0.9712885078042746,0.6870480265509145,0.9373764893693284
216,0.9879430262371898,0.5359606023318957,0.9732231280588943
217,0.9470603205263615,0.44513501428288926,0.9711522207083064
219,0.9684336483478546,0.39301571726491763,0.9793151628807861
220,0.9415743127465248,0.4100791858754577,0.9509673633163431
221,0.9400662034749985,0.4876404181015523,0.9312828478892501
222,0.9546100236475468,0.5490407294363107,0.9598318302408466
223,0.926250122487545,0.632911556638473,0.9510164258742837
225,0.949899461120367,0.6074623511465178,0.9673501605757918
226,0.9394954405725002,0.6970986559047062,0.9633833645108522
23,0.9928211406804621,0.45402792056601915,0.9426677567420347
230,0.9914839277043939,0.6679813316900325,0.9794039027774585
233,0.9922532588243484,0.47129616635182064,0.979615877577332
234,0.9635049849748611,0.5925310824084011,0.9523913781287661
236,0.9468563087284565,0.5925626175623514,0.9702721625552947
237,0.947155948728323,0.5970089467526819,0.9651966719040224
239,0.9357767403125763,0.6716090274702772,0.9306385012787016
241,0.9936388493515551,0.5684855475102623,0.9753597815348006
242,0.9690960682928562,0.4861199266527498,0.9804353404021173
245,0.9466845020651817,0.4941770065243337,0.9572925452036738
252,0.9270663484930992,0.6318606057871636,0.9296409566464948
254,0.9928446128033102,0.4828533914526927,0.978441602190676
255,0.977083720266819,0.5260320668871092,0.9484146468039018
256,0.9924327237531543,0.49014646190225164,0.9788298309018821
267,0.9932813169434667,0.4046763422248947,0.9781942165569262
274,0.9930678834207356,0.4348641077526778,0.9711461586338668
276,0.9913641223683953,0.4316442498102359,0.9820421816737458
277,0.9898911733180285,0.44112341605032074,0.9592661167851181
279,0.9939997405745089,0.4043826873673567,0.9701513008142966
28,0.9947806848213077,0.48560866793609847,0.9744874046645298
280,0.9937153281643987,0.33566806767295054,0.9806196667097122
283,0.9908947218209505,0.4263979968386703,0.9697213869100204
285,0.9885156927630305,0.5188286698678419,0.9733778028367859
286,0.9936430202797055,0.4404227516321769,0.9702653236741374
29,0.9938946664333344,0.44517248863843895,0.9702103247903925
291,0.9898648373782635,0.46832060219926536,0.970768922545245
292,0.9936915505677462,0.42592331502332265,0.9811601039451707
296,0.993557131383568,0.3849850140478854,0.9861509320527309
298,0.9772477522492409,0.6713609725177074,0.969677230083453
305,0.9933444922789931,0.39116345487369625,0.9864405493919022
306,0.9935664413496852,0.5111566907518491,0.9890025862677094
307,0.9838733617216349,0.5816254449199497,0.9658159390152621
309,0.9917246652767062,0.486356987154194,0.9697656352779517
310,0.9927424271591008,0.5110378831717387,0.9771074604667211
315,0.9930540230125189,0.4243295753112319,0.9814414918183223
319,0.9866604404523969,0.5950092213981975,0.9618924528916803
32,0.9809983652085066,0.4168813589431781,0.9178956679070205
321,0.991766694933176,0.5134412878898624,0.9742386660964798
323,0.9912733593955636,0.5393133823565716,0.9536489402281465
324,0.9620460420846939,1.0620676170633967,0.9443610416947461
326,0.9766853302717209,0.8476068860284217,0.9398923303387394
328,0.9925142829306424,0.39116953089312445,0.9778105258961924
34,0.9950361712835729,0.3829387534450851,0.9756853891184514
4,0.9932124488987029,0.5054940041979782,0.9410708709737979
43,0.9895108267664909,0.33975597870501634,0.9604376479143041
44,0.9221660494804382,0.4912656446445804,0.9331220991149785
45,0.982235549017787,0.41055944697533664,0.95333915398802
46,0.9693546984344721,0.4719319744956158,0.8714434044574646
47,0.935062974691391,0.456370046577748,0.9469136448123591
49,0.948110356926918,0.8584514163249827,0.8956811112052312
51,0.9909295169636607,0.5072859455023633,0.9679167294632471
53,0.9599543660879135,0.7246663772906463,0.9294601383010279
55,0.9638923183083534,0.6042999800125768,0.9807507928229494
56,0.90400829911232,0.8799440487500692,0.8736917063847209
58,0.9908193806186318,0.44837610575462783,0.9603953681927218
59,0.9556708931922913,0.5681858387718132,0.9691905813048437
6,0.9940939620137215,0.3916359788796748,0.9651753806213159
60,0.9530344754457474,0.5722738792683426,0.9545923232675211
65,0.915459394454956,0.5821457820571451,0.9071451375052978
66,0.9721435755491257,0.589586087974161,0.9122430851343425
7,0.9922404987737536,0.35957940135204314,0.9764597866176453
73,0.9929731455631554,0.4487124367827776,0.9816709368265317
77,0.9934462704695761,0.49596808937119613,0.9760678037833309
83,0.9933127034455538,0.43834295127503803,0.971726533743984
86,0.9941935734823346,0.4379432680608416,0.980110094935072
9,0.9944194643758237,0.4519029284456,0.9808319314549723
92,0.9942641672678292,0.38886432579593133,0.9667900154128621
